expt_no_true,expt_no,sit_probability,bend_probability,stand_probability,tampered_probability,inaction_probability,w_bl,w_br,w_b_sum,w_b_change,w_fl,w_fr,w_f_sum,w_f_change,v_bidet,v_tissue,label,sit_total,bend_total,stand_total,tampered_total,inaction_total,predicted_label
22,5,0.999999166,7.75E-07,1.41E-09,1.06E-10,2.06E-09,895.89,391.21,1287.1,0.86,4.04,0.83,4.87,0.12,4,0,0,0.999999433,5.27E-07,9.59E-10,7.21E-11,1.40E-09,0
22,5,0.999999881,9.37E-08,7.80E-10,3.87E-11,2.06E-09,895.94,392.64,1288.58,1.48,4.26,1.18,5.44,0.57,4,0,0,0.999999919,6.37E-08,5.30E-10,2.63E-11,1.40E-09,0
22,5,0.999999881,1.11E-07,1.50E-09,4.19E-11,2.06E-09,894.05,375.2,1269.25,-19.33,4.08,2.44,6.52,1.08,4,0,1,0.999999919,7.55E-08,1.02E-09,2.85E-11,1.40E-09,0
22,5,0.998864273,0.001134315,4.67E-08,1.46E-06,2.06E-09,874.31,336.85,1211.16,-58.09,31.03,16.99,48.02,41.5,4,0,1,0.999227706,0.000771334,3.18E-08,9.93E-07,1.40E-09,0
22,5,0.004157008,0.962638054,8.81E-07,0.033204042,2.06E-09,837.44,286.55,1123.99,-87.17,64.4,88.05,152.45,104.43,4,0,1,0.002826765,0.654593877,5.99E-07,0.022578749,1.40E-09,1
22,5,0.00233971,0.994894714,3.97E-07,0.002765214,2.06E-09,837.44,286.55,1123.99,0,64.4,88.05,152.45,0,4,0,1,0.001591003,0.676528406,2.70E-07,0.001880346,1.40E-09,1
22,5,3.32E-05,0.999966742,8.06E-09,3.21E-08,2.06E-09,785.25,244.79,1030.04,-93.95,57.55,243.74,301.29,148.84,4,0,1,2.26E-05,0.679977385,5.48E-09,2.18E-08,1.40E-09,1
22,5,1.02E-05,0.999989867,6.73E-09,1.82E-09,2.06E-09,734.76,222.67,957.43,-72.61,153.3,245.44,398.74,97.45,4,0,1,6.94E-06,0.67999311,4.58E-09,1.24E-09,1.40E-09,1
22,5,4.30E-06,0.999995708,9.41E-09,1.11E-09,2.06E-09,701.59,213.28,914.87,-42.56,215.49,393.68,609.17,210.43,4,0,1,2.92E-06,0.679997081,6.40E-09,7.55E-10,1.40E-09,1
22,5,2.09E-05,0.999977828,1.32E-06,2.63E-08,2.06E-09,679.38,208.03,887.41,-27.46,441.18,623.3,1064.48,455.31,4,0,1,1.42E-05,0.679984923,8.98E-07,1.79E-08,1.40E-09,1
22,5,1.82E-06,2.81E-05,0.99996245,7.62E-06,2.06E-09,674.78,208.58,883.36,-4.05,639.49,701.4,1340.89,276.41,4,0,1,1.24E-06,1.91E-05,0.999974466,5.18E-06,1.40E-09,1
22,5,2.28E-07,3.14E-08,0.999999523,2.27E-07,2.06E-09,672.47,209.76,882.23,-1.13,754.88,744.14,1499.02,158.13,4,0,1,1.55E-07,2.14E-08,0.999999676,1.54E-07,1.40E-09,1
22,5,1.71E-07,5.32E-08,0.999999642,1.84E-07,2.06E-09,673.42,214.82,888.24,6.01,814.67,770.86,1585.53,86.51,4,0,1,1.16E-07,3.62E-08,0.999999757,1.25E-07,1.40E-09,1
22,5,0.000244073,0.966280432,0.033431083,4.45E-05,2.06E-09,695.43,230.56,925.99,37.75,716.97,256.65,973.62,-611.91,4,0,0,0.00016597,0.657070694,0.022733136,3.03E-05,0.320000001,1
